Sentiment,Strength,Conditions,Comment,Age,Gender,Postal Code
Opposed,Strongly Opposed,T,increased addiction problems with gambling addicts crime * will be the ones who benefit from this so NO,45-54,Male,M4M
Opposed,Strongly Opposed,T,I don't believe gambling should be taken away from the racetracks - it's fine where it is We don't need any more organized crime We already have too many poor people who will throw their money away gambling,Prefer not to disclose,Female,M4J
Opposed,Strongly Opposed,F,"cleanliness & environment, noise type of people casino's attract our downtown core is hustling and bustling, i appreciate toronto's latest push to provide the people an environment in the waterfront area to connect with nature and get away from the concrete jungle.",35-44,Female,m4m
Opposed,Strongly Opposed,T,"strong disbelief that such a plan would provide economic benefit to city public health concerns re dependence on gambling trying to stop governmental habit of being ""addicted"" to gambling revenues as a ""new"" source of funds",45-54,Female,M4K
Opposed,Strongly Opposed,T,Enough gambling options around Toronto Promote gambling addictions Make surrounding areas seedier,25-34,Male,M5J
Opposed,Strongly Opposed,T,"I believe that casinos are destructive to the fibre of individuals, and the fabric of families, cities, and communities. There is ample evidence of this throughout the world.  ",55-64,Male,M5E
Opposed,Strongly Opposed,T,"social impact outweighs financial benefit it is a lazy, unimaginative way to resolve city fiscal challenges municipal governments become dependent on gambling to fund core functions; gambling begets the need for more gambling.",45-54,Male,M4K
Favour,Strongly in Favour,F,"Provides new revenue streams for the City, which it needs; Provides new employment opportunities which it also needs; and Adds a new dimension to what City has to offer to its residents and visitors, who currently go to other parts of the province, country to enjoy, why not have it here and reap the benefits?",45-54,Male,m5v
Opposed,Strongly Opposed,T,"The city cannot afford it. It is not a guarantee of money being made... and it is a short term solution. Does not address gambling problems, effectively.",45-54,Male,M4M
Opposed,Strongly Opposed,T,Not attracting the right type of consumer. Don't like the message it sends as to what kind of city Toronto is.  Are the great cities known for casinos? NO. ,Prefer not to disclose,Prefer not to disclose,M5V
Opposed,Strongly Opposed,T,  ,55-64,Male,M1R
Opposed,Strongly Opposed,T,I'm concerned about the socio-economic and public health effects of gambling. I think it's a lazy attempt at economic development. I feel (and hope) that Toronto can do much better than building a casino.,25-34,Male,M4Y
Opposed,Strongly Opposed,T,"families get destroyed because of gambling addictions we can really focus on using all that money for health care or schools or getting all the recent graduates jobs its just not a good idea, mentally, emotionally, and physically on a human",15-24,Female,M4L
Opposed,Strongly Opposed,T,not healthy places for entertainment attract the wrong kind of tourism inconsistant with a world class view of Toronto,55-64,Female,M4M
Opposed,Strongly Opposed,T,The negative and amoral influence on our community. It will interfere with a continuous green path along the waterfront which is pedestrian and family friendly. Noise.,35-44,Male,M4M
Opposed,Strongly Opposed,T,"Criminals, such as loan sharks and organized crime, will come to the neighbourhood, making it less safe to live there. The people who will make money from the casino are the owners of the casino, instead of local businesses. Gambling addicts will have easier access to gambling, costing them more money and taxpayers more money in treatment costs.",25-34,Male,M4C
Favour,Somewhat in Favour,F,"Revenue to the city and job creation Additional entertainment option(s) Enough people head to Niagara or Casino Rama already, would keep more money in the city",35-44,Male,M4L
Opposed,Strongly Opposed,T,i've lived in windsor windsor is crummy and the casino is a significant reason for its further decline other  (former) major cities have declined even further upon the arrival of casinos,25-34,Female,m6n
Opposed,Strongly Opposed,T,Gambling Related Issues Doesn't fit with my image of Toronto Congestion at location,35-44,Male,M4K
Opposed,Strongly Opposed,T,Not necessary Damage to families dealing with addiction will only be worse Financial benefits do not out weigh social costs,25-34,Female,M4E
Favour,Somewhat in Favour,F,Revenue for city jobs waterfront development,35-44,Male,M4J
Opposed,Strongly Opposed,F,"The proposed location downtown (at the convention centre) is not what is needed in downtown toronto. We need vibrant streets with people walking around and ""eyes on the street"". parking and traffic. we do not have the capacity in the downtown for the increase traffic and parking we don't need people sitting in a closed off space gambling away their life savings. They should be investing that money into the economy in a more productive way.",25-34,Female,m4m
Opposed,Strongly Opposed,T,"legalized vices are still vices.  the only benefit of a casino is the 'promise' of money, and its DIRTY MONEY. There are much better ways to create jobs while providing a material benefit to the City -- such as investing in transit the novelty (and revenues) will wear off, but the negative legacy will remain",25-34,Male,M6P
Opposed,Strongly Opposed,T,"Not what I want Toronto to be known for Increased traffic and crowds in already saturated neighbourhoods Revenues will be syphoned by province (OLG), but programs needed to combat negative social side effects (e.g., gambling addiction) will be the City's responsibility, so any financial beneft will be eradicated",Prefer not to disclose,Female,M4M
Opposed,Strongly Opposed,T,increases in traffic increased disturbances a variation of the big box store infiltration and poor land use,45-54,Male,M4J
Opposed,Strongly Opposed,T,"Gambling is addictive, governments that endorse gambling revenue are acting unethically. A casino will lead to a deterioration of the quality of the neighbourhood in which it is located. The true costs (including increased addiction and crime) will exceed the benefits.",45-54,Male,M8V
Opposed,Strongly Opposed,F,I do not think Toronto needs a casino to attract visitors. I think a nicer waterfront would take care of that I think gambling is harmful to many people. It feels like dirty money. Profits for a casino leave the community quickly,45-54,Male,M4J
Opposed,Strongly Opposed,T,crime lack of social supports lack of durable benefits to the City,,,
Opposed,Strongly Opposed,T,Associated Crime Associated Traffic- Traffic is already a nightmare Loss of a family type venue by the Waterfront,35-44,Female,M4J
Opposed,Strongly Opposed,T,Casinos are inward looking - will not be good for local business Unsuitable for the waterfront - put it at Woodbine to avoid more congestion downtown ,25-34,,M4M
Opposed,Strongly Opposed,T,I don't believe that casinos are healthy for communities.  ,35-44,Male,M6P
Favour,Strongly in Favour,F,Government Revenue Increased Tourism Jobs,35-44,Male,M9B
Favour,Somewhat in Favour,F,"Opportunity to repurpose Ontario Place, or potentially add value to CNE grounds Economic impact Potentially positive impact on Toronto brand globally",45-54,Male,m4l
Favour,Strongly in Favour,F,Employment Bring alot more tourist revenue downtoiwn to stay for longer than a quick picture at the CN Tower I am strongly in favor of this coming to downtown Toronto,45-54,Female,M4M
Opposed,Strongly Opposed,T,Takes money from people that can't afford it Causes traffic problems and possible illegal activity Will not generate the revenue that is being advertised,55-64,Female,m5j
Opposed,Strongly Opposed,T,No financial or social benefit for the city Encourages / enables compulsive gambling ,35-44,Male,M6G
Opposed,Strongly Opposed,T,Lack of avantages to justify Is a negative for the City Of Toronto Lackly to attract clients that are not desirable for the City.,65 or older,Male,m4m
Favour,Strongly in Favour,F,new jobs new entertainment options ,45-54,Male,m4l
Opposed,Strongly Opposed,F,Environmental concerns Not convinced re income generation ,45-54,Female,
Opposed,Somewhat Opposed,F,I don't think the casino will improve the city as a place to live or as a destination  ,45-54,Prefer not to disclose,
Favour,Somewhat in Favour,F,Jobs Tourists Why not,35-44,Female,
Opposed,Strongly Opposed,T,"The liberal government has removed slots from racetracks in rural Ontario in planning for this casino in Toronto. I support the farming and racing industry A casino does not represent this city well to tourists. We have a wealth of attractions in our many neighborhoods spread across the city. The waterfront is a huge missed opportunity. It could be a beautiful neighborhood in itself, a casino wouldn't include the waterfront it would only divide it further.",25-34,Female,M4k
Opposed,Strongly Opposed,T,will not add any social or cultural value to the city will take the waterfront in an unfavourable direction gambling is not an activity I see any value in,55-64,Female,M4K
Opposed,Strongly Opposed,T,gov't abusing people who are poor and/or addicted to gambling irresponsible use of land unhealthy choice for everyone except the gov't,45-54,Female,M4K
Opposed,Strongly Opposed,T,Public health concerns - gambling addiction Negative impact on local economy - existing local businesses may suffer Poor urban planning if located near downtown or on the waterfront - negative net financial benefit to the city,35-44,Male,M4M
Opposed,Strongly Opposed,T,Negative impact on our existing Main Street businesses High social costs paid by taxpayers No proven economic benefit,25-34,Male,M4V
Opposed,Strongly Opposed,T,"Increase in undesirable traffic to the area, street crime, chronic gamblers, preys on poor and elderly, low grade tourism Effect on quality of life to area residents (park life and cutlure), environmental impact. I DO NOT want to live near a casino. No real financial benefit to the area, local businesses suffer more than they gain; revenue will not be rerouted to the area. Decrease in property values.",35-44,Female,M4M
Opposed,Strongly Opposed,T,Bad move for city building Social ills Congestion/Traffic,55-64,Male,M5A
Neutral,Neutral or Mixed Feelings,F,Problem gambling and the crime that is associated with it concerns me The entertainment and food that come along with  a casino can only be a good thing ,,,
Favour,Strongly in Favour,F,employment opportunities the management will pay for most of the complex the facility can be frequented by all who want to be entertained etc.  Much better than condos,45-54,Female,m4m
Favour,Strongly in Favour,F,"Build it in Toronto or it will go to Markham or elsewhere, we need the revenue Added tourism draw Jobs",55-64,Male,M4Y
Opposed,Strongly Opposed,F,Will hurt economy Bring poverty ,25-34,Female,M3j
Opposed,Strongly Opposed,T,It is not part of how I see our waterfront develop  ,35-44,Female,M4L
Favour,Strongly in Favour,F,money for the community  ,35-44,Female,M4M
Opposed,Strongly Opposed,F,The GTA already has sufficient tourist attraction which doesn't need a casino to attrack more torist dollars The existing casino sites in southern Ontario benefit with the influx of trourist dollars.  Toronto's casino would hurt these sites Gambling/ Lotteries are already in our face and lives (this includes on-ine).  Having more in downtown Toronto is over doing it.,45-54,Male,m4m
Opposed,Strongly Opposed,F,gambling traffic issues crime,65 or older,Female,m4j
Opposed,Strongly Opposed,T,Encourages gambling addiction  ,55-64,Female,M4M
Opposed,Strongly Opposed,T,A casino in downtown Toronto is not the image of a world class city. A casino is not a cultural element that will enhance our city. Using a casino as a means of generating revenue for Toronto is fiscal laziness.,45-54,Prefer not to disclose,M4K
Opposed,Strongly Opposed,T,the vast majority of casino areas in the world are surrounded by a low income slum there are 2 casinos an hours drive from the city will negatively effect property values,35-44,Male,M4K
Favour,Somewhat in Favour,F,  ,55-64,Male,m4g
Favour,Strongly in Favour,F,Good jobs in Toronto Improved entertainment options I believe the fears around the rise in crime related to the casino overblown,,Male,
Favour,Strongly in Favour,F,economic develipment city improvement tourism money,25-34,Male,m4m
Opposed,Strongly Opposed,T,addiction effects on cities elsewhere. Parking to crime element building a better city and society to me does not include any kind of gambling,65 or older,,
Opposed,Strongly Opposed,T,undesirable band aid solution wrong use of the city. will not generate desirable jobs Toronto doesn't need a casino - we are thriving.,45-54,Male,M4M
Opposed,Strongly Opposed,T,Opportunities for organized crime Increased problems for gambling addicts Not a clear definition regarding revenue to be returned to Toronto if a casino is located in the city,65 or older,Female,M4M
Opposed,Somewhat Opposed,F,  ,35-44,Male,M4m
Opposed,Strongly Opposed,F,Degradation of surrounding area Increased mental health costs to the city in the face gambling addictions Not the kind of tourists I want to see attracted to Toronto,25-34,Male,M4L
Favour,Strongly in Favour,F,Economic benefits to the City of Toronto Makes Toronto an exciting world class city Brings long term high calibre entertainment to Toronto,,,
Favour,Strongly in Favour,F,Jobs Revenue ,Prefer not to disclose,Prefer not to disclose,M4J
Opposed,Strongly Opposed,T,I work with vulnerable women in the city of Toronto and am worried about the effects of a casino on them. Too many people I care about suffer from gambling addictions and a casino is likely to exacerbate these problems. I would much rather see development of beautiful green spaces and community spaces in the city of Toronto.,25-34,Female,m4k
Opposed,Somewhat Opposed,F,"I'm against one on the waterfront, but I'm in favour of one on front street if the city gest more green space out of the deal. Our skyline also needs some good achitecture. Something this city lacks.  ",35-44,Male,m4m
Favour,Strongly in Favour,F,"If other cities, including world-class cities, can successfully integrate a casino(s) into their environment, then why can't we? Global competition for tourism - as more cities build casinos, we'll continue to fall behind in developing attractions that attract, and retain, tourists. Diversity - a casino(s) should be seen as one piece only of ongoing development aimed at tourism; Toronto doesn't do enough to attract tourism.",55-64,Male,M4J
Favour,Strongly in Favour,F,decrease the city's debt increase funding for healthcare and education across the province increase tourism to the city,35-44,Female,m5e
Favour,Somewhat in Favour,F,Employment and other economic benefits for the region. Attract tourists. ,65 or older,Male,M4K
Opposed,Strongly Opposed,F,gambling addiction issues loss of business to surrounding areas loss of opportunity for parkland or something more environmentally focussed,45-54,Female,M4K
Opposed,Strongly Opposed,T,  ,25-34,Male,M6J
Neutral,Neutral or Mixed Feelings,F,"I think there are good and bad aspects of having a casino, but I think they balance out. I don't see myself going to the casino. I think the casino would create jobs.",35-44,Male,M4J
Opposed,Strongly Opposed,T,Casinos take money away from the poor. Casinos attract crime. They are not very profitable for the OLGC and actually add to the costs to society in general.,35-44,Male,M4J
Opposed,Strongly Opposed,T,I am not in favour of casinos in general. I believe casinos negatively affect the socio-economic welfare of those who can least afford to gamble. Casinos do not present the image that should be encouraged for Toronto's growth and development.,45-54,Female,M4M
Opposed,Strongly Opposed,T,Not a fan of gambling as far as it being a suitable source of revenue generation  ,45-54,Female,M4M
Opposed,Strongly Opposed,T,Toronto will see little net financial benefit. Casinos encourage the wrong kind of public behaviour. Tax incentives that casinos would get are better deserved by countless other civic endeavours.,55-64,Male,M4K
Opposed,Strongly Opposed,T,promotes gambling promotes other crime we should attract industry and commerce that provides good direct and indirect jobs - not an industry that just takes money out of the economy and into private hands,35-44,Male,M4K
Opposed,Strongly Opposed,T,"casinos are a terrible way to raise money for public programs - our taxation system should be rebalanced to tax those of us who can pay instead of these indirect tax schemes crime, addiction problems associated no proof there is any economic benefit when all the costs are factored in - costs the public ends up paying",55-64,Male,M4L
Favour,Strongly in Favour,F,Will bring tourism and is fun to do as long as in reason  ,55-64,Female,M1E
Opposed,Strongly Opposed,F,A casino will have a strong negative social impact on the community around it. A casino will have a negative environmental impact. ,65 or older,Female,M4K
Opposed,Strongly Opposed,T,"Gambling can be addictive, often to those who can't afford to lose the money involved and may have little resistence. Traffic is already bad in Toronto and area and a large 24-hour 'arena' is unthinkable under the circumstances. Taxes shouldn't be raised due to the weaknesses of the public.  I don't agree with the gov. running lotto games either.",Prefer not to disclose,Prefer not to disclose,M4J
Neutral,Neutral or Mixed Feelings,F,Good revenue  ,Prefer not to disclose,Prefer not to disclose,
Opposed,Strongly Opposed,T,"Several casinos already within easy drive for anyone who cares to partake Been to Vegas - hated it If Queen's Park merely stopped WASTING money (eHealth; Ornge; moving power plants to get elected, et al), it wouldn't need to source out new revenue streams.",55-64,Male,M5C
Opposed,Strongly Opposed,T,"Runs counter to the image that we should be projecting as a city: innovative, creative, cool, and progressive. Attracts undesirable elements to the city, which already has too much crime. Squanders an opportunity to use valuable land for better housing, parks, transit, and ground-level trade.",35-44,Male,
Opposed,Strongly Opposed,T,Problem gambling/addiction and related health & social problems Can depress economic activity for local small businesses Criminal activity & related social problems,35-44,Female,M4K
Opposed,Strongly Opposed,T,A casino is not in the best interests of  the City of Toronto Land that would be taken to construct a casino would be better used for something (anything) else There are already too many casinos - this one would do nothing to prevent the other casino buses from parking and continuing to idle at the top of my street,55-64,Male,M4M
Opposed,Strongly Opposed,T,  ,55-64,Female,M5S
Opposed,Strongly Opposed,T,"know too many people destroyed by gambling would rather prime Toronto land be used for more positive, citizen-friendly businesses will only take money from people who can least afford to pay",35-44,Male,M4M
Opposed,Somewhat Opposed,F,they provide very little positive spin-off business casinos are inward-focused and don't usually increase street activity around them ,25-34,,m4x
Opposed,Strongly Opposed,T,"Too many problems would stem from having a casino in Toronto (effect on the environment, traffic, public safety) I cannot see how this would benefit Toronto There are so many other issues that need money and time",55-64,Female,M4K
Opposed,Strongly Opposed,T,Gambling addictions Keeping the area family friendly/purposeful ,25-34,Female,m4m
Opposed,Strongly Opposed,T,Casinos are wastelands for depravity. There are far better things to do with the waterfront than have a casino. I'm concerned about the impact on public health and I believe that it will ultimately be a huge drain on our resources.,35-44,Female,M4M
Favour,Somewhat in Favour,F,"Tourism attraction equivilant to that of other world class tourist desitnations Spin off industries, like restaurants and live shows. Job creation",35-44,Female,M5V
Opposed,Somewhat Opposed,F,"I do not think a Casino should be downtown. Traffic will be even more horrendous than it already is. North York, Scarborough or Etobicoke would make more sense.  ",25-34,Female,M4M
Favour,Strongly in Favour,F,Job Creation Increase in Tourism to Toronto Drive synergies with already great entertainment in Toronto,35-44,Male,M4J
Opposed,Strongly Opposed,T,"It will have no net benefit to the city. It will have hidden social, health and infrastructure costs. It's only purpose is the redistribution of wealth from the most vulnerable citizens to oligarchs and kleptocrats further exacerbating economic inequality.",45-54,Male,M4J
Opposed,Strongly Opposed,T,"toronto does not need the problems that come with an addictive activity such as gambling, including crime a gambling venue will bring increased stress on social services and community agencies  (particularly downtown) at a time when funding is being targeted downtown toronto needs more family friendly activities and venues, not adult only activities that cause addictions and stress incomes of those who may see gambling as a way to increase limited income",Prefer not to disclose,Prefer not to disclose,m5a
Opposed,Strongly Opposed,T,"Will overtax resources and infrastucture (and not in a good way) Does not attract appropriate and viable secondary industry (other unrelated retail and or service industries) as it will be financially advantageous to keep it all in house, creating an island of development rateher than an interrelated and interdepended neighborhood Will creat an unattractive, inconsistant architectual island of gaudiness (save perhaps for in Monte Carlo, have you ever seen an attractive casino?",55-64,Male,M4M
Opposed,Strongly Opposed,T,"Impact on the neighbourhood where it will be placed will be strongly negative: Traffic, Poor Streetscape, Poor integration into the community with no benefit to it. People and activities a casino will attract aren't a good thing for a community. ",45-54,Female,M4L
Opposed,Strongly Opposed,T,It will make it easier for Torontonians to waste their money. It will encourage poorer people to gamble instead of being thrifty. It will increase crime and mobs in Toronto.,45-54,Female,M5B
Opposed,Strongly Opposed,T,Gambling addiction is a usually under-estimated cost to the city ansd society Why pay huge profits to companies from LAs Vegas and similar? They don't want to build it for our benefit. Question the payback for the city,65 or older,Male,M4K
Opposed,Strongly Opposed,T,we don't need more gambling opportunities; many of those who lose money at casinos are not in the financial position to this is not in keeping with what serves this terrific city the environmental issues,55-64,Female,M4L
Favour,Strongly in Favour,F,Good for the local economy--financial benefit Good for the local economy--jobs now and long-term Good for the local economy--build strength around the site and critical mass,45-54,Male,L4A
Favour,Somewhat in Favour,F,Revenue for the city More appeal for tourists Making unused space fun and beautiful,25-34,Female,M4C
Opposed,Strongly Opposed,F,"Not an ""amenity"" that everyone can use Casino's decreasing in tourism appeal (unless you're las vegas, god forbid). Plus do you really want to be know as the city with a great casino.. boring and fleeting. Doesn't speak to Toronto's values/appeal - not aligned with vision",25-34,Female,M4K
Opposed,Strongly Opposed,T,"Gambling is addictive and destroys lives and families -- we shouldn't be promoting it There are better uses of our waterfront, which I presume is where a casino would be, than to turn it into Las Vegas ",55-64,Male,M4K
Opposed,Strongly Opposed,T,gambling exploits the poor gambling invites crime there are better ways to improve our city,55-64,Male,M4M
Opposed,Strongly Opposed,T,Socially corrosive Poor land use Poor value to city,45-54,Male,M4W
Favour,Strongly in Favour,F,  ,Prefer not to disclose,Prefer not to disclose,M3M
Opposed,Strongly Opposed,T,We don't need it Does not add value to average Torontonian Mainly of benefit to the casino owner/operator that will never contribute the real cost,55-64,Female,M4M
Opposed,Strongly Opposed,T,"Increase in crime, unnecessarily Promotes gambling habits - often with ill effects dealt with as an afterthought ",,,
Opposed,Somewhat Opposed,F,Increased crime Social costs of gambling may outway any financial benfits ,25-34,Male,m4c
Opposed,Strongly Opposed,T,Location of the casinos should not be downtown since TTC and traffics in and out of downtown already bad enough. Having casinos a few steps from the financial district... that's very smart. Toronto is already in short supply of downtown waterfront space for general healthy public usage/access,55-64,Male,M5A
Opposed,Strongly Opposed,T,"It may attract desperate people who can't afford to lose the money and create new gambling addicts, especially since it has a big city population from which to draw customers. Casinos have a poor track record on keeping out self-barring gambling addicts from their casinos. It has the potential to attract other crime to the area, e.g. prostitution and drugs.",45-54,Female,M4K
Opposed,Strongly Opposed,T,negatively affect vulnerable people negative impact on the environment of the city will the city really benefit from this,55-64,Female,M4K
Opposed,Strongly Opposed,F,I'm concerned about the social ills associated with Casinos and don't want one in Toronto The economic benefits to the City are not known and have not be settled on. It's not worth the risk - especially when we don't have even an educated guess on projected City Revenues I don't want my City / Province to depend on gambling to pay for public services,35-44,Male,M6R
Opposed,Strongly Opposed,T,Causes gambling addiction Causes unnecessary debt Causes crime,25-34,Female,M4M
Opposed,Strongly Opposed,T,"Unsavory foreign ""business men"" using it for money laundering etc. i.e.brings higher level crime Addictions- families dealing with addicted gamblers will have more trouble Pretty sure the public gets little out of it",55-64,Female,M4J
Opposed,Strongly Opposed,T,"I do not believe that it will generate any new revenues for municipal or provincial governments; I believe that it will take $ away from other Ontario casinos such as Niagara, Rama and Windsor. The province has more than enough gambling opportunities/outlets, there is a time to recognize that enough is enough. I do not believe that this is a good usage of Toronto Waterfront or any other Toronto sites; forr  the Waterfront or Ontario Place/CNE, whatever, it will isolate usage to be for a specific user group rather than a wide ranging user group The City of Toronto has numerous lines of business that are 'core' business and numerous problems, this is not a good use of the City's resources; I do not believe that this is part of what I want to make up the City of Toronto.",45-54,Male,M4E
Opposed,Strongly Opposed,T,gambling destroys lives lived destroys family lives & community life is an immoral way to seek to produce tax revenues,Prefer not to disclose,Female,M4W
Opposed,Strongly Opposed,T,"Societal drawbacks (bankruptcies, etc) far outweigh any economic benefits Bad image for our city, neighbourhood Mostly low-level jobs, not a big benefit for Toronto",55-64,Female,M4J
Favour,Strongly in Favour,F,"people travel outside of Toronto now to play - lost revenue I am a responsible adult, like to play slots but travelling out of the city means I rarely do there are already charity casinos etc. the city should have it's own",45-54,Female,m4y
Favour,Somewhat in Favour,F,Provide jobs A big city should have a casino for tourism Source of revenue for the city,45-54,Female,M4M
Opposed,Strongly Opposed,T,More traffic Commercialization of the city Build a theatre or a public space instead,25-34,Female,M5V
Opposed,Strongly Opposed,T,Debasement of cultural capital. Defacing the waterfront. Commercialism.,25-34,Female,M5G
Opposed,Strongly Opposed,T,"Casino's are evil. They trap people inside the building and essentially siphon money out of their pockets. A casino is not a tourist attraction. There are casino's everywhere, what would make Toronto's casino unique? ",25-34,Male,m3g
Neutral,Neutral or Mixed Feelings,F,"depends where - if at the Ontario Place grounds, seems reasonable, should not be located in a residential area if at Front and Blue Jays Way, seems foolish, already too much traffic congestion ",35-44,Female,m5v
Opposed,Strongly Opposed,T,"does not fit in with the city. will bring more crime, addiction and poverty. harmful to local businesses",45-54,Female,m4c
Favour,Strongly in Favour,F,create employment economic benefit to local businesses revitalize downtown Toronto,45-54,Female,M5G
Opposed,Strongly Opposed,F,Casinos do not help with local economic nor social development Casinos will negatively impact area businesses ,35-44,Male,
Opposed,Strongly Opposed,T,Research. Research. Research.,35-44,Male,M4E
Opposed,Strongly Opposed,T,Social consequencess infastructure consequences environmental consequences,Prefer not to disclose,Male,m4c
Neutral,Neutral or Mixed Feelings,F,"I don't know enough about the project to have a strong opinion. I'm concerned about the positive impact on the city - tourism is good, but how much revenue will it actually generate? I'm concerned about the negative impact on the city - we already have a parking problem and casinos need a lot of space we don't have.",25-34,Female,m4k
Opposed,Somewhat Opposed,T,downtown traffic is unsustainable as it is without adding casino traffic Gambling can lead to an addiction.. I would prefer a city investment in the waterfront that beautifies our city and makes it more enjoyable for all and does not ghettoize the downtown property....for its casino priorities,45-54,Female,M4K
Opposed,Strongly Opposed,F,We don't need an economy based on gambling on the city more addictions more crime,35-44,Male,m4m
Opposed,Strongly Opposed,T,Provides zero cultural impact Damages the culture or personality of the city Promotes gambling,,,
Opposed,Strongly Opposed,T,"Casinos function as a tax on the people least able to pay more taxes. If governments need more money, they should raise taxes on people who can pay them. Casinos kill neighbourhoods. No one wants to go near them unless they're going to gamble. Other businesses die or fail to start. Quite apart from sucking money from people and communities, casinos are a major planning problem. People don't go to casinos on streetcars; they go in cars, which have to be parked.",45-54,Female,M4K
Opposed,Strongly Opposed,T,Gambling is an addiction It is usually the poorer people who play and can't afford to lose the money It attracts crime,,,
