Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,not healthy places for entertainment,attract the wrong kind of tourism,inconsistant with a world class view of Toronto,T,55-64,Female,M4M
Strongly Opposed,The negative and amoral influence on our community.,It will interfere with a continuous green path along the waterfront which is pedestrian and family friendly.,Noise.,T,35-44,Male,M4M
Strongly Opposed,"Criminals, such as loan sharks and organized crime, will come to the neighbourhood, making it less safe to live there.","The people who will make money from the casino are the owners of the casino, instead of local businesses.","Gambling addicts will have easier access to gambling, costing them more money and taxpayers more money in treatment costs.",T,25-34,Male,M4C
Somewhat in Favour,Revenue to the city and job creation,Additional entertainment option(s),"Enough people head to Niagara or Casino Rama already, would keep more money in the city",F,35-44,Male,M4L
Strongly Opposed,i've lived in windsor,windsor is crummy and the casino is a significant reason for its further decline,other  (former) major cities have declined even further upon the arrival of casinos,T,25-34,Female,m6n
Strongly Opposed,Gambling Related Issues,Doesn't fit with my image of Toronto,Congestion at location,T,35-44,Male,M4K
Strongly Opposed,Not necessary,Damage to families dealing with addiction will only be worse,Financial benefits do not out weigh social costs,T,25-34,Female,M4E
Somewhat in Favour,Revenue for city,jobs,waterfront development,F,35-44,Male,M4J
Strongly Opposed,"The proposed location downtown (at the convention centre) is not what is needed in downtown toronto. We need vibrant streets with people walking around and ""eyes on the street"".",parking and traffic. we do not have the capacity in the downtown for the increase traffic and parking,we don't need people sitting in a closed off space gambling away their life savings. They should be investing that money into the economy in a more productive way.,F,25-34,Female,m4m
Strongly Opposed,"legalized vices are still vices.  the only benefit of a casino is the 'promise' of money, and its DIRTY MONEY.",There are much better ways to create jobs while providing a material benefit to the City -- such as investing in transit,"the novelty (and revenues) will wear off, but the negative legacy will remain",T,25-34,Male,M6P
Strongly Opposed,Not what I want Toronto to be known for,Increased traffic and crowds in already saturated neighbourhoods,"Revenues will be syphoned by province (OLG), but programs needed to combat negative social side effects (e.g., gambling addiction) will be the City's responsibility, so any financial beneft will be eradicated",T,Prefer not to disclose,Female,M4M
Strongly Opposed,increases in traffic,increased disturbances,a variation of the big box store infiltration and poor land use,T,45-54,Male,M4J
Strongly Opposed,"Gambling is addictive, governments that endorse gambling revenue are acting unethically.",A casino will lead to a deterioration of the quality of the neighbourhood in which it is located.,The true costs (including increased addiction and crime) will exceed the benefits.,T,45-54,Male,M8V
Strongly Opposed,I do not think Toronto needs a casino to attract visitors. I think a nicer waterfront would take care of that,I think gambling is harmful to many people. It feels like dirty money.,Profits for a casino leave the community quickly,F,45-54,Male,M4J
Strongly Opposed,crime,lack of social supports,lack of durable benefits to the City,T,,,
Strongly Opposed,Associated Crime,Associated Traffic- Traffic is already a nightmare,Loss of a family type venue by the Waterfront,T,35-44,Female,M4J
Strongly Opposed,Casinos are inward looking - will not be good for local business,Unsuitable for the waterfront - put it at Woodbine to avoid more congestion downtown,,T,25-34,,M4M
Strongly Opposed,I don't believe that casinos are healthy for communities.,,,T,35-44,Male,M6P
Strongly in Favour,Government Revenue,Increased Tourism,Jobs,F,35-44,Male,M9B
Somewhat in Favour,"Opportunity to repurpose Ontario Place, or potentially add value to CNE grounds",Economic impact,Potentially positive impact on Toronto brand globally,F,45-54,Male,m4l
Strongly in Favour,Employment,Bring alot more tourist revenue downtoiwn to stay for longer than a quick picture at the CN Tower,I am strongly in favor of this coming to downtown Toronto,F,45-54,Female,M4M
Strongly Opposed,Takes money from people that can't afford it,Causes traffic problems and possible illegal activity,Will not generate the revenue that is being advertised,T,55-64,Female,m5j
Strongly Opposed,No financial or social benefit for the city,Encourages / enables compulsive gambling,,T,35-44,Male,M6G
Strongly Opposed,Lack of avantages to justify,Is a negative for the City Of Toronto,Lackly to attract clients that are not desirable for the City.,T,65 or older,Male,m4m
Strongly in Favour,new jobs,new entertainment options,,F,45-54,Male,m4l
Strongly Opposed,Environmental concerns,Not convinced re income generation,,F,45-54,Female,
Somewhat Opposed,I don't think the casino will improve the city as a place to live or as a destination,,,F,45-54,Prefer not to disclose,
Somewhat in Favour,Jobs,Tourists,Why not,F,35-44,Female,
Strongly Opposed,The liberal government has removed slots from racetracks in rural Ontario in planning for this casino in Toronto. I support the farming and racing industry,A casino does not represent this city well to tourists. We have a wealth of attractions in our many neighborhoods spread across the city.,"The waterfront is a huge missed opportunity. It could be a beautiful neighborhood in itself, a casino wouldn't include the waterfront it would only divide it further.",T,25-34,Female,M4k
Strongly Opposed,will not add any social or cultural value to the city,will take the waterfront in an unfavourable direction,gambling is not an activity I see any value in,T,55-64,Female,M4K
Strongly Opposed,gov't abusing people who are poor and/or addicted to gambling,irresponsible use of land,unhealthy choice for everyone except the gov't,T,45-54,Female,M4K
Strongly Opposed,Public health concerns - gambling addiction,Negative impact on local economy - existing local businesses may suffer,Poor urban planning if located near downtown or on the waterfront - negative net financial benefit to the city,T,35-44,Male,M4M
Strongly Opposed,Negative impact on our existing Main Street businesses,High social costs paid by taxpayers,No proven economic benefit,T,25-34,Male,M4V
Strongly Opposed,"Increase in undesirable traffic to the area, street crime, chronic gamblers, preys on poor and elderly, low grade tourism","Effect on quality of life to area residents (park life and cutlure), environmental impact. I DO NOT want to live near a casino.","No real financial benefit to the area, local businesses suffer more than they gain; revenue will not be rerouted to the area. Decrease in property values.",T,35-44,Female,M4M
Strongly Opposed,Bad move for city building,Social ills,Congestion/Traffic,T,55-64,Male,M5A
Neutral or Mixed Feelings,Problem gambling and the crime that is associated with it concerns me,The entertainment and food that come along with  a casino can only be a good thing,,F,,,
Strongly in Favour,employment opportunities,the management will pay for most of the complex,the facility can be frequented by all who want to be entertained etc.  Much better than condos,F,45-54,Female,m4m
Strongly in Favour,"Build it in Toronto or it will go to Markham or elsewhere, we need the revenue",Added tourism draw,Jobs,F,55-64,Male,M4Y
Strongly Opposed,Will hurt economy,Bring poverty,,F,25-34,Female,M3j
Strongly Opposed,It is not part of how I see our waterfront develop,,,T,35-44,Female,M4L
Strongly in Favour,money for the community,,,F,35-44,Female,M4M
Strongly Opposed,The GTA already has sufficient tourist attraction which doesn't need a casino to attrack more torist dollars,The existing casino sites in southern Ontario benefit with the influx of trourist dollars.  Toronto's casino would hurt these sites,Gambling/ Lotteries are already in our face and lives (this includes on-ine).  Having more in downtown Toronto is over doing it.,F,45-54,Male,m4m
Strongly Opposed,gambling,traffic issues,crime,F,65 or older,Female,m4j
Strongly Opposed,Encourages gambling addiction,,,T,55-64,Female,M4M
Strongly Opposed,A casino in downtown Toronto is not the image of a world class city.,A casino is not a cultural element that will enhance our city.,Using a casino as a means of generating revenue for Toronto is fiscal laziness.,T,45-54,Prefer not to disclose,M4K
Strongly Opposed,the vast majority of casino areas in the world are surrounded by a low income slum,there are 2 casinos an hours drive from the city,will negatively effect property values,T,35-44,Male,M4K
Somewhat in Favour,,,,F,55-64,Male,m4g
Strongly in Favour,Good jobs in Toronto,Improved entertainment options,I believe the fears around the rise in crime related to the casino overblown,F,,Male,
Strongly in Favour,economic develipment,city improvement,tourism money,F,25-34,Male,m4m
Strongly Opposed,addiction,effects on cities elsewhere. Parking to crime element,building a better city and society to me does not include any kind of gambling,T,65 or older,,
Strongly Opposed,undesirable band aid solution,wrong use of the city. will not generate desirable jobs,Toronto doesn't need a casino - we are thriving.,T,45-54,Male,M4M
Strongly Opposed,Opportunities for organized crime,Increased problems for gambling addicts,Not a clear definition regarding revenue to be returned to Toronto if a casino is located in the city,T,65 or older,Female,M4M
Somewhat Opposed,,,,F,35-44,Male,M4m
Strongly Opposed,Degradation of surrounding area,Increased mental health costs to the city in the face gambling addictions,Not the kind of tourists I want to see attracted to Toronto,F,25-34,Male,M4L
Strongly in Favour,Economic benefits to the City of Toronto,Makes Toronto an exciting world class city,Brings long term high calibre entertainment to Toronto,F,,,
Strongly in Favour,Jobs,Revenue,,F,Prefer not to disclose,Prefer not to disclose,M4J
Strongly Opposed,I work with vulnerable women in the city of Toronto and am worried about the effects of a casino on them.,Too many people I care about suffer from gambling addictions and a casino is likely to exacerbate these problems.,I would much rather see development of beautiful green spaces and community spaces in the city of Toronto.,T,25-34,Female,m4k
Somewhat Opposed,"I'm against one on the waterfront, but I'm in favour of one on front street if the city gest more green space out of the deal. Our skyline also needs some good achitecture. Something this city lacks.",,,F,35-44,Male,m4m
Strongly in Favour,"If other cities, including world-class cities, can successfully integrate a casino(s) into their environment, then why can't we?","Global competition for tourism - as more cities build casinos, we'll continue to fall behind in developing attractions that attract, and retain, tourists.",Diversity - a casino(s) should be seen as one piece only of ongoing development aimed at tourism; Toronto doesn't do enough to attract tourism.,F,55-64,Male,M4J
Strongly in Favour,decrease the city's debt,increase funding for healthcare and education across the province,increase tourism to the city,F,35-44,Female,m5e
Somewhat in Favour,Employment and other economic benefits for the region.,Attract tourists.,,F,65 or older,Male,M4K
Strongly Opposed,gambling addiction issues,loss of business to surrounding areas,loss of opportunity for parkland or something more environmentally focussed,F,45-54,Female,M4K
Strongly Opposed,,,,T,25-34,Male,M6J
Neutral or Mixed Feelings,"I think there are good and bad aspects of having a casino, but I think they balance out.",I don't see myself going to the casino.,I think the casino would create jobs.,F,35-44,Male,M4J
Strongly Opposed,Casinos take money away from the poor.,Casinos attract crime.,They are not very profitable for the OLGC and actually add to the costs to society in general.,T,35-44,Male,M4J
Strongly Opposed,I am not in favour of casinos in general.,I believe casinos negatively affect the socio-economic welfare of those who can least afford to gamble.,Casinos do not present the image that should be encouraged for Toronto's growth and development.,T,45-54,Female,M4M
Strongly Opposed,Not a fan of gambling as far as it being a suitable source of revenue generation,,,T,45-54,Female,M4M
Strongly Opposed,Toronto will see little net financial benefit.,Casinos encourage the wrong kind of public behaviour.,Tax incentives that casinos would get are better deserved by countless other civic endeavours.,T,55-64,Male,M4K
Strongly Opposed,promotes gambling,promotes other crime,we should attract industry and commerce that provides good direct and indirect jobs - not an industry that just takes money out of the economy and into private hands,T,35-44,Male,M4K
Strongly Opposed,casinos are a terrible way to raise money for public programs - our taxation system should be rebalanced to tax those of us who can pay instead of these indirect tax schemes,"crime, addiction problems associated",no proof there is any economic benefit when all the costs are factored in - costs the public ends up paying,T,55-64,Male,M4L
Strongly in Favour,Will bring tourism and is fun to do as long as in reason,,,F,55-64,Female,M1E
Strongly Opposed,A casino will have a strong negative social impact on the community around it.,A casino will have a negative environmental impact.,,F,65 or older,Female,M4K
Strongly Opposed,"Gambling can be addictive, often to those who can't afford to lose the money involved and may have little resistence.",Traffic is already bad in Toronto and area and a large 24-hour 'arena' is unthinkable under the circumstances.,Taxes shouldn't be raised due to the weaknesses of the public.  I don't agree with the gov. running lotto games either.,T,Prefer not to disclose,Prefer not to disclose,M4J
Neutral or Mixed Feelings,Good revenue,,,F,Prefer not to disclose,Prefer not to disclose,
Strongly Opposed,Several casinos already within easy drive for anyone who cares to partake,Been to Vegas - hated it,"If Queen's Park merely stopped WASTING money (eHealth; Ornge; moving power plants to get elected, et al), it wouldn't need to source out new revenue streams.",T,55-64,Male,M5C
Strongly Opposed,"Runs counter to the image that we should be projecting as a city: innovative, creative, cool, and progressive.","Attracts undesirable elements to the city, which already has too much crime.","Squanders an opportunity to use valuable land for better housing, parks, transit, and ground-level trade.",T,35-44,Male,
Strongly Opposed,Problem gambling/addiction and related health & social problems,Can depress economic activity for local small businesses,Criminal activity & related social problems,T,35-44,Female,M4K
Strongly Opposed,A casino is not in the best interests of  the City of Toronto,Land that would be taken to construct a casino would be better used for something (anything) else,There are already too many casinos - this one would do nothing to prevent the other casino buses from parking and continuing to idle at the top of my street,T,55-64,Male,M4M
Strongly Opposed,,,,T,55-64,Female,M5S
Strongly Opposed,know too many people destroyed by gambling,"would rather prime Toronto land be used for more positive, citizen-friendly businesses",will only take money from people who can least afford to pay,T,35-44,Male,M4M
Somewhat Opposed,they provide very little positive spin-off business,casinos are inward-focused and don't usually increase street activity around them,,F,25-34,,m4x
Strongly Opposed,"Too many problems would stem from having a casino in Toronto (effect on the environment, traffic, public safety)",I cannot see how this would benefit Toronto,There are so many other issues that need money and time,T,55-64,Female,M4K
Strongly Opposed,Gambling addictions,Keeping the area family friendly/purposeful,,T,25-34,Female,m4m
Strongly Opposed,Casinos are wastelands for depravity.,There are far better things to do with the waterfront than have a casino.,I'm concerned about the impact on public health and I believe that it will ultimately be a huge drain on our resources.,T,35-44,Female,M4M
Somewhat in Favour,Tourism attraction equivilant to that of other world class tourist desitnations,"Spin off industries, like restaurants and live shows.",Job creation,F,35-44,Female,M5V
Somewhat Opposed,"I do not think a Casino should be downtown. Traffic will be even more horrendous than it already is. North York, Scarborough or Etobicoke would make more sense.",,,F,25-34,Female,M4M
Strongly in Favour,Job Creation,Increase in Tourism to Toronto,Drive synergies with already great entertainment in Toronto,F,35-44,Male,M4J
Strongly Opposed,It will have no net benefit to the city.,"It will have hidden social, health and infrastructure costs.",It's only purpose is the redistribution of wealth from the most vulnerable citizens to oligarchs and kleptocrats further exacerbating economic inequality.,T,45-54,Male,M4J
Strongly Opposed,"toronto does not need the problems that come with an addictive activity such as gambling, including crime",a gambling venue will bring increased stress on social services and community agencies  (particularly downtown) at a time when funding is being targeted,"downtown toronto needs more family friendly activities and venues, not adult only activities that cause addictions and stress incomes of those who may see gambling as a way to increase limited income",T,Prefer not to disclose,Prefer not to disclose,m5a
Strongly Opposed,Will overtax resources and infrastucture (and not in a good way),"Does not attract appropriate and viable secondary industry (other unrelated retail and or service industries) as it will be financially advantageous to keep it all in house, creating an island of development rateher than an interrelated and interdepended neighborhood","Will creat an unattractive, inconsistant architectual island of gaudiness (save perhaps for in Monte Carlo, have you ever seen an attractive casino?",T,55-64,Male,M4M
Strongly Opposed,"Impact on the neighbourhood where it will be placed will be strongly negative: Traffic, Poor Streetscape, Poor integration into the community with no benefit to it.",People and activities a casino will attract aren't a good thing for a community.,,T,45-54,Female,M4L
Strongly Opposed,It will make it easier for Torontonians to waste their money.,It will encourage poorer people to gamble instead of being thrifty.,It will increase crime and mobs in Toronto.,T,45-54,Female,M5B
Strongly Opposed,Gambling addiction is a usually under-estimated cost to the city ansd society,Why pay huge profits to companies from LAs Vegas and similar? They don't want to build it for our benefit.,Question the payback for the city,T,65 or older,Male,M4K
Strongly Opposed,we don't need more gambling opportunities; many of those who lose money at casinos are not in the financial position to,this is not in keeping with what serves this terrific city,the environmental issues,T,55-64,Female,M4L
Strongly in Favour,Good for the local economy--financial benefit,Good for the local economy--jobs now and long-term,Good for the local economy--build strength around the site and critical mass,F,45-54,Male,L4A
Somewhat in Favour,Revenue for the city,More appeal for tourists,Making unused space fun and beautiful,F,25-34,Female,M4C
Strongly Opposed,"Not an ""amenity"" that everyone can use","Casino's decreasing in tourism appeal (unless you're las vegas, god forbid). Plus do you really want to be know as the city with a great casino.. boring and fleeting.",Doesn't speak to Toronto's values/appeal - not aligned with vision,F,25-34,Female,M4K
Strongly Opposed,Gambling is addictive and destroys lives and families -- we shouldn't be promoting it,"There are better uses of our waterfront, which I presume is where a casino would be, than to turn it into Las Vegas",,T,55-64,Male,M4K
Strongly Opposed,gambling exploits the poor,gambling invites crime,there are better ways to improve our city,T,55-64,Male,M4M
Strongly Opposed,Socially corrosive,Poor land use,Poor value to city,T,45-54,Male,M4W
Strongly in Favour,,,,F,Prefer not to disclose,Prefer not to disclose,M3M
Strongly Opposed,We don't need it,Does not add value to average Torontonian,Mainly of benefit to the casino owner/operator that will never contribute the real cost,T,55-64,Female,M4M
Strongly Opposed,"Increase in crime, unnecessarily",Promotes gambling habits - often with ill effects dealt with as an afterthought,,T,,,
Somewhat Opposed,Increased crime,Social costs of gambling may outway any financial benfits,,F,25-34,Male,m4c
Strongly Opposed,Location of the casinos should not be downtown since TTC and traffics in and out of downtown already bad enough.,Having casinos a few steps from the financial district... that's very smart.,Toronto is already in short supply of downtown waterfront space for general healthy public usage/access,T,55-64,Male,M5A
Strongly Opposed,"It may attract desperate people who can't afford to lose the money and create new gambling addicts, especially since it has a big city population from which to draw customers.",Casinos have a poor track record on keeping out self-barring gambling addicts from their casinos.,"It has the potential to attract other crime to the area, e.g. prostitution and drugs.",T,45-54,Female,M4K
Strongly Opposed,negatively affect vulnerable people,negative impact on the environment of the city,will the city really benefit from this,T,55-64,Female,M4K
Strongly Opposed,I'm concerned about the social ills associated with Casinos and don't want one in Toronto,The economic benefits to the City are not known and have not be settled on. It's not worth the risk - especially when we don't have even an educated guess on projected City Revenues,I don't want my City / Province to depend on gambling to pay for public services,F,35-44,Male,M6R
Strongly Opposed,Causes gambling addiction,Causes unnecessary debt,Causes crime,T,25-34,Female,M4M
Strongly Opposed,"Unsavory foreign ""business men"" using it for money laundering etc. i.e.brings higher level crime",Addictions- families dealing with addicted gamblers will have more trouble,Pretty sure the public gets little out of it,T,55-64,Female,M4J
Strongly Opposed,"I do not believe that it will generate any new revenues for municipal or provincial governments; I believe that it will take $ away from other Ontario casinos such as Niagara, Rama and Windsor. The province has more than enough gambling opportunities/outlets, there is a time to recognize that enough is enough.","I do not believe that this is a good usage of Toronto Waterfront or any other Toronto sites; forr  the Waterfront or Ontario Place/CNE, whatever, it will isolate usage to be for a specific user group rather than a wide ranging user group","The City of Toronto has numerous lines of business that are 'core' business and numerous problems, this is not a good use of the City's resources; I do not believe that this is part of what I want to make up the City of Toronto.",T,45-54,Male,M4E
Strongly Opposed,gambling destroys lives lived,destroys family lives & community life,is an immoral way to seek to produce tax revenues,T,Prefer not to disclose,Female,M4W
Strongly Opposed,"Societal drawbacks (bankruptcies, etc) far outweigh any economic benefits","Bad image for our city, neighbourhood","Mostly low-level jobs, not a big benefit for Toronto",T,55-64,Female,M4J
Strongly in Favour,people travel outside of Toronto now to play - lost revenue,"I am a responsible adult, like to play slots but travelling out of the city means I rarely do",there are already charity casinos etc. the city should have it's own,F,45-54,Female,m4y
Somewhat in Favour,Provide jobs,A big city should have a casino for tourism,Source of revenue for the city,F,45-54,Female,M4M
Strongly Opposed,More traffic,Commercialization of the city,Build a theatre or a public space instead,T,25-34,Female,M5V
Strongly Opposed,Debasement of cultural capital.,Defacing the waterfront.,Commercialism.,T,25-34,Female,M5G
Strongly Opposed,Casino's are evil. They trap people inside the building and essentially siphon money out of their pockets.,"A casino is not a tourist attraction. There are casino's everywhere, what would make Toronto's casino unique?",,T,25-34,Male,m3g
Neutral or Mixed Feelings,"depends where - if at the Ontario Place grounds, seems reasonable, should not be located in a residential area","if at Front and Blue Jays Way, seems foolish, already too much traffic congestion",,F,35-44,Female,m5v
Strongly Opposed,does not fit in with the city.,"will bring more crime, addiction and poverty.",harmful to local businesses,T,45-54,Female,m4c
Strongly in Favour,create employment,economic benefit to local businesses,revitalize downtown Toronto,F,45-54,Female,M5G
Strongly Opposed,Casinos do not help with local economic nor social development,Casinos will negatively impact area businesses,,F,35-44,Male,
Strongly Opposed,Research.,Research.,Research.,T,35-44,Male,M4E
Strongly Opposed,Social consequencess,infastructure consequences,environmental consequences,T,Prefer not to disclose,Male,m4c
Neutral or Mixed Feelings,I don't know enough about the project to have a strong opinion.,"I'm concerned about the positive impact on the city - tourism is good, but how much revenue will it actually generate?",I'm concerned about the negative impact on the city - we already have a parking problem and casinos need a lot of space we don't have.,F,25-34,Female,m4k
Somewhat Opposed,downtown traffic is unsustainable as it is without adding casino traffic,Gambling can lead to an addiction..,I would prefer a city investment in the waterfront that beautifies our city and makes it more enjoyable for all and does not ghettoize the downtown property....for its casino priorities,T,45-54,Female,M4K
Strongly Opposed,We don't need an economy based on gambling on the city,more addictions,more crime,F,35-44,Male,m4m
Strongly Opposed,Provides zero cultural impact,Damages the culture or personality of the city,Promotes gambling,T,,,
Strongly Opposed,"Casinos function as a tax on the people least able to pay more taxes. If governments need more money, they should raise taxes on people who can pay them.",Casinos kill neighbourhoods. No one wants to go near them unless they're going to gamble. Other businesses die or fail to start.,"Quite apart from sucking money from people and communities, casinos are a major planning problem. People don't go to casinos on streetcars; they go in cars, which have to be parked.",T,45-54,Female,M4K
Strongly Opposed,Gambling is an addiction,It is usually the poorer people who play and can't afford to lose the money,It attracts crime,T,,,
Strongly Opposed,"would cheapen Toronto's image, turning it into another Las Vegas",would prey upon the desperate working class and encourage gambling addiction,"would attract crime, particularly money laundering and drug dealing",T,45-54,Female,M4K
Strongly in Favour,new attraction,waterfront development opportunity,I would go,F,35-44,Female,m4m
Strongly Opposed,"Casinos are not built to be an inclusive part of a community, but as an island. In so doing they brand that region into an area not suitable for other businesses, homes or parks. They create a vacuum.","Casinos do not contribute to a community, they take away. The sums they promise to deliver to city coffers are about as reliable as the return on investment of a stack of poker chips.","Casinos are built in cities and townships in decline, where no other source of income is viable. Toronto is a vibrant , growing community with vast and realized potentials. We are not Windsor, Niagara or Detroit.",F,45-54,Male,M4L
Strongly Opposed,Potential for benefit is way overstated.,Really just an underhanded way to tax people.,Much better ways to utilize downtown land.,T,45-54,Male,m4k
Neutral or Mixed Feelings,"Personally, I think the public health costs are not worth it.","As a business owner, a casino has the potential to bring in revenue for my business",,F,35-44,Male,M4m
Strongly Opposed,Will drain money away from local businesses.,Will add to traffic congestion.,Will create more problem gamblers.,T,45-54,Male,6-2
